Store ID,Store Name,Industry,City,Merchant,Device ID,Device Type,Device description,Int Device description,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25
1879,Sportsmans,Bar,Bristol,,WNQR,Mini,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,17.00 ,66.00 ,6.00 ,22.00 ,14.00 ,4.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1141,Spring Mews,Student Accommodation,London,,QXB2,Mini,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.00 ,8.00 ,4.00 ,3.00 ,5.00 ,35.00 ,10.00 ,28.00 ,16.00 ,8.00 ,0.00 ,11.00 ,13.00 ,3.00 ,23.00 ,16.00 ,55.00 ,35.00 ,5.00 ,9.00 ,4.44 ,50.64 ,16.92 ,4.92 ,8.40 ,57.12 ,3.58 ,4.74 ,4.16 ,0.00 ,13.64 ,4.74 ,0.00 
1141,Spring Mews,Student Accommodation,London,,R6QD,Mini,,,41.00 ,0.00 ,28.00 ,38.00 ,51.00 ,84.00 ,77.00 ,155.00 ,18.00 ,5.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3400,St Christophers 121,Pub,London,,GNWW,Mini,,,0.00 ,0.00 ,0.00 ,21.00 ,26.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3400,St Christophers 121,Pub,London,,RSBV,Mini,,,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3400,St Christophers 121,Pub,London,,TE33,Mini,,,0.00 ,0.00 ,0.00 ,29.00 ,8.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3315,St Christophers Inn Camden,Hotel,London,Beds & Bars,YHH3,Mini,On left hand side of the bar,,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,0.00 ,9.00 ,6.00 ,11.00 ,6.00 ,12.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3316,St Christophers Inn Greenwich,Hotel,London,Beds & Bars,A3AZ,Mini,On the bar ,,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,50.00 ,19.00 ,19.00 ,10.00 ,74.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3317,St Christophers Inn Hammersmith,Hotel,London,Beds & Bars,84FJ,Mini,,,0.00 ,0.00 ,0.00 ,0.00 ,23.00 ,45.00 ,24.00 ,69.00 ,17.00 ,54.00 ,8.00 ,41.00 ,3.00 ,23.00 ,9.00 ,20.00 ,20.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3317,St Christophers Inn Hammersmith,Hotel,London,Beds & Bars,FRGY,Mini,Top of the stairs,Entrance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,21.00 ,15.00 ,8.00 ,61.00 ,5.00 ,28.00 ,9.00 ,9.00 ,63.96 ,43.56 ,26.88 ,74.76 ,52.92 ,22.72 ,10.64 ,34.16 ,101.60 ,51.96 ,27.48 ,111.08 ,77.22 
